OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
JADE1,ING5,Affinity Capture-MS
JADE1,MEAF6,Affinity Capture-MS
JADE1,HIST2H3C,Reconstituted Complex
MAPRE1,COPS5,Reconstituted Complex
MAPRE1,COPS8,Reconstituted Complex
MAPRE1,CSN3,Reconstituted Complex
CSN3,MAPRE1,Co-localization
CSN3,TUBG1,Co-localization
COPS7A,MAPRE1,Affinity Capture-Western
COPS7A,CSN3,Affinity Capture-Western
PGR,CUEDC2,Two-hybrid
PGR,CUEDC2,Affinity Capture-Western
CUEDC2,PGR,Affinity Capture-Western
CUEDC2,PGR,Co-localization
CUEDC2,PGR,Reconstituted Complex
IL17RA,TRAF6,Affinity Capture-Western
TRAF6,IL17RA,Affinity Capture-Western
DAPK1,TP53,Affinity Capture-Western
TP53,DAPK1,Affinity Capture-Western
PSMC3,CDKN2A,Affinity Capture-Western
CDKN2A,PSMC3,Affinity Capture-Western
EEF1A1,RAF1,Affinity Capture-Western
RAF1,EEF1A1,Affinity Capture-Western
RAF1,EEF1A1,Co-localization
BTRC,EPOR,Affinity Capture-Western
EPO,EPOR,Affinity Capture-Western
PSMD5,RPT1,Affinity Capture-Western
PSMD5,RPT2,Affinity Capture-Western
PSMD5,RPN2,Affinity Capture-Western
PSMD5,RPN7,Affinity Capture-Western
PSMD5,RPT1,Two-hybrid
PARK2,CDK5,Affinity Capture-Western
CDK5,PARK2,Biochemical Activity
DAPK1,HSP90AA1,Affinity Capture-Western
DAPK1,ST13,Affinity Capture-Western
DAPK1,CCNDBP1,Affinity Capture-Western
ST13,DAPK1,Affinity Capture-Western
STUB1,HSP90AA1,Affinity Capture-Western
CCNDBP1,DAPK1,Affinity Capture-Western
BCL2,BCL2L11,Affinity Capture-Western
BCL2L11,BCL2,Affinity Capture-Western
PCF11,ALYREF,Affinity Capture-Western
CSNK1A1,SHQ1,Biochemical Activity
CSNK1A1,APC,Biochemical Activity
BTRC,PHLPP1,Affinity Capture-Western
PHLPP1,BTRC,Affinity Capture-Western
CSNK1A1,PHLPP1,Biochemical Activity
GSK3B,PHLPP1,Biochemical Activity
SMARCB1,XPC,Co-localization
ATR,H2AFX,Co-localization
ATR,XPC,Co-localization
ATM,XPC,Co-localization
SMARCB1,ATM,Affinity Capture-Western
ATM,SMARCB1,Affinity Capture-Western
XPC,SMARCB1,Affinity Capture-Western
XPC,H2AFX,Affinity Capture-Western
H2AFX,BRCA1,Affinity Capture-Western
SUB1,SUB1,Far Western
PLXNB1,RHOA,Affinity Capture-Western
RAF1,RRAS,Affinity Capture-Western
PLXNB1,AKT1,Affinity Capture-Western
PLXNB1,GRB2,Affinity Capture-Western
PLXNB1,PLCG1,Affinity Capture-Western
PLXNB1,PLCG2,Affinity Capture-Western
PLCG1,PLXNB1,Affinity Capture-Western
PLCG1,PLXNB2,Affinity Capture-Western
RTKN,RHOA,Affinity Capture-Western
ZHX2,RRAS,Affinity Capture-Western
ARHGEF2,PLCG1,Affinity Capture-Western
RTN1,SEY1,Affinity Capture-Western
ING2,HHT1,Affinity Capture-Western
ING2,HHT2,Affinity Capture-Western
ING2,SAP30,Affinity Capture-Western
ING2,HDAC1,Affinity Capture-Western
ING2,SIN3A,Affinity Capture-Western
ATRX,MUS81,Reconstituted Complex
ATRX,MMS4,Reconstituted Complex
PDZRN3,MUSK,Affinity Capture-Western
MUSK,PDZRN3,Affinity Capture-Western
PDZRN3,UBE2D2,Reconstituted Complex
HIF1A,SAT2,Reconstituted Complex
SAT2,HIF1A,Affinity Capture-Western
VHL,HIF1A,Reconstituted Complex
HIF1A,VHL,Reconstituted Complex
VHL,TCEB1,Reconstituted Complex
VHL,HIF1A,Affinity Capture-Western
VHL,TCEB1,Affinity Capture-Western
HIF1A,TCEB1,Affinity Capture-Western
TCEB1,SAT2,Reconstituted Complex
VHL,SAT2,Reconstituted Complex
GBF1,COPG1,Affinity Capture-Western
GBF1,COPG1,Affinity Capture-Western
FIG4,VAC14,Two-hybrid
PIKFYVE,VAC14,Two-hybrid
VAC14,VAC14,Two-hybrid
SFN,MDM2,Affinity Capture-Western
MDM2,SFN,Affinity Capture-Western
MDM2,SFN,Reconstituted Complex
SFN,TP53,Affinity Capture-Western
FCHO1,Eps15,Reconstituted Complex
SGIP1,Eps15,Reconstituted Complex
MLH1,EXO1,Reconstituted Complex
MSH2,EXO1,Reconstituted Complex
MLH1,NTG2,Two-hybrid
MLH1,EXO1,Two-hybrid
MLH1,SGS1,Two-hybrid
MLH1,BLM,Two-hybrid
MLH1,PMS2,Two-hybrid
MLH1,BLM,Protein-peptide
MLH1,EXO1,Protein-peptide
TXN,TP53,Reconstituted Complex
NQO2,TP53,Affinity Capture-Western
GAPVD1,CBL,Affinity Capture-Western
EGFR,CBL,Affinity Capture-Western
SIAH1,PIAS1,Two-hybrid
SIAH2,PIAS1,Two-hybrid
SIAH1,PIAS2,Two-hybrid
SIAH2,PIAS2,Two-hybrid
SIAH2,UBE2I,Two-hybrid
AKT1,PIAS1,Two-hybrid
AKT1,PIAS2,Two-hybrid
SIAH1,UBE2I,Two-hybrid
HRAS,ZHX2,Two-hybrid
SIAH2,PIAS1,Reconstituted Complex
SIAH2,PIAS3,Reconstituted Complex
SIAH1,PIAS1,Reconstituted Complex
SIAH1,PIAS3,Reconstituted Complex
PIAS1,SIAH2,Affinity Capture-Western
SIAH2,PIAS1,Biochemical Activity
MDM2,TP53,Reconstituted Complex
USP7,TP53,Reconstituted Complex
USP7,TP53,Affinity Capture-Western
BRCA1,UIMC1,Affinity Capture-MS
BRCA1,RBBP8,Affinity Capture-MS
BRCA1,BRIP1,Affinity Capture-MS
BRCA1,UIMC1,Affinity Capture-Western
BRCA1,UIMC1,Affinity Capture-Western
BRCA1,BRIP1,Affinity Capture-Western
UIMC1,UBC,Reconstituted Complex
UBC,UIMC1,Reconstituted Complex
UBC,BRCA1,Reconstituted Complex
BARD1,BRCA1,Affinity Capture-Western
BARD1,UIMC1,Affinity Capture-Western
BARD1,BRCC3,Affinity Capture-Western
UIMC1,BRCA1,Affinity Capture-MS
UIMC1,BRE,Affinity Capture-MS
UIMC1,BRCC3,Affinity Capture-MS
SRRM2,PRP8,Affinity Capture-Western
SRRM2,SNU114,Affinity Capture-Western
DNAJC19,PAM16,Reconstituted Complex
BLM,EXO1,Affinity Capture-Western
CLN3,SBDS,Two-hybrid
PAM16,DNAJC19,Affinity Capture-Western
DNAJC19,PAM16,Affinity Capture-Western
PAM16,PAM18,Reconstituted Complex
PAM16,DNAJC19,Reconstituted Complex
TIMM17A,TIMM44,Affinity Capture-Western
TIMM17A,PAM16,Affinity Capture-Western
TIMM17A,DNAJC19,Affinity Capture-Western
