OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
UBE2E1,MID1,Two-hybrid
UBE2E3,MID1,Two-hybrid
UBE2L3,MID1,Two-hybrid
UBE2K,MID1,Two-hybrid
UBE2E2,MID1,Two-hybrid
UBE2D4,MKRN3,Two-hybrid
UBE2E1,MKRN3,Two-hybrid
UBE2E3,MKRN3,Two-hybrid
UBE2H,MKRN3,Two-hybrid
UBE2I,MKRN3,Two-hybrid
UBE2L3,MKRN3,Two-hybrid
UBE2V1,MKRN3,Two-hybrid
UBE2V2,MKRN3,Two-hybrid
UBE2K,MKRN3,Two-hybrid
UBE2W,MKRN3,Two-hybrid
UBE2E2,MKRN3,Two-hybrid
UBE2U,MKRN3,Two-hybrid
UBE2I,RC3H2,Two-hybrid
UBE2I,TRIM72,Two-hybrid
UBE2I,RNF128,Two-hybrid
UBE2T,RNF128,Two-hybrid
UBE2H,TRIM23,Two-hybrid
UBE2I,TRIM23,Two-hybrid
AKTIP,TRIM23,Two-hybrid
UBE2L3,TRIM39,Two-hybrid
UBE2V1,TRIM39,Two-hybrid
UBE2K,TRIM39,Two-hybrid
UBE2W,TRIM39,Two-hybrid
UBE2D1,TRIM55,Two-hybrid
UBE2D2,TRIM55,Two-hybrid
UBE2D3,TRIM55,Two-hybrid
UBE2F,RNF34,Two-hybrid
UBE2I,TRIM41,Two-hybrid
AKTIP,TRIM41,Two-hybrid
UBE2I,BMI1,Two-hybrid
UBE2U,PCGF6,Two-hybrid
UBE2I,PEX10,Two-hybrid
UBE2Z,RAPSN,Two-hybrid
UBE2A,TRIM27,Two-hybrid
UBE2D4,TRIM27,Two-hybrid
UBE2I,TRIM27,Two-hybrid
UBE2L6,TRIM27,Two-hybrid
UBE2J1,TRIM27,Two-hybrid
UBE2W,TRIM27,Two-hybrid
UBE2Z,TRIM27,Two-hybrid
UBE2O,TRIM27,Two-hybrid
UBE2U,TRIM27,Two-hybrid
UBE2D1,RFWD3,Two-hybrid
UBE2D4,RFWD3,Two-hybrid
UBE2E1,RFWD3,Two-hybrid
UBE2E3,RFWD3,Two-hybrid
UBE2N,RFWD3,Two-hybrid
UBE2W,RFWD3,Two-hybrid
UBE2H,RNF10,Two-hybrid
UBE2V1,RNF10,Two-hybrid
UBE2J2,RNF10,Two-hybrid
UBE2W,RNF10,Two-hybrid
UBE2E2,RNF10,Two-hybrid
UBE2U,RNF10,Two-hybrid
UBE2E1,RNF111,Two-hybrid
UBE2E3,RNF111,Two-hybrid
UBE2M,RNF111,Two-hybrid
